id,collection,dc.contributor.author[],dc.date.issued[],dc.description.abstract[en_US],dc.description[],dc.identifier.citation[],dc.identifier.citation[en_US],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[],dc.language.iso[en_US],dc.publisher[],dc.publisher[en_US],dc.subject[],dc.subject[en_US],dc.title.alternative[en_US],dc.title[],dc.title[en_US],dc.type[],dc.type[en_US]
3621,123456789/2749,News Service,2017-10-17,,,,,http://hdl.handle.net/108/151560,http://128.9.32.51:8080/jspui/handle/108/151560,,,,,,Guidede Rocket||Pinaka||Pinaka Guided Rocket||ARDE||DRDO||Aircraff||CSS||HTT-40||LCA||ATAGS||Artillery Gun||Low Drag Aircraff Bomb||Aircraff Bomb||composite Drive||ARDE PMN-PT||Sensors||Defences Scientist,,,Compilation of News on ARDE's Achievements (Jan-Sept 2017),,
3622,123456789/2749,Ajai Shukla,2020-05-13,,,,,http://hdl.handle.net/108/173111,http://128.9.32.51:8080/jspui/handle/108/173111,,,,Bussiness Standard,,biological defence||biological weapons,,,Govt exhorts DRDO to revive work on biological defence initiative,,
3647,123456789/2749,"Dighe, Sandeep",2017-02-12,,,,"The Times of India, 12 February 2017",http://hdl.handle.net/108/148935,http://128.9.32.51:8080/jspui/handle/108/148935,,,,,,DRDO Labs||ARDE||Interceptor Missile||HEMRL||Missile Test,,,3 Pune DRDO labs' hand in missile launch,,
3640,123456789/2749,"Peri, Dinakar",2017-03-12,,,,"The Hindu, 12 March 2017",http://hdl.handle.net/108/148941,http://128.9.32.51:8080/jspui/handle/108/148941,,,,,,Military fund||Defence acquisition||Non-lapsable Capital Fund,,,Non-Iapsable fund sought for arms buy,,
3623,123456789/2749,Times News Service,2017-09-28,,,,"The Times of India,28sep2017",http://hdl.handle.net/108/151454,http://128.9.32.51:8080/jspui/handle/108/151454,,,,,,Artillery Gun||DRDO||ATAGS,,,Advanced artillery gun passes user trials in deserts:DRDO,,
3632,123456789/2749,"Pandit, Rajat",2017-05-15,,,,"The Times of India, 15 May 2017",http://hdl.handle.net/108/149543,http://128.9.32.51:8080/jspui/handle/108/149543,,,,,,Defence Procurement Organisation||DPO||Ministry Of Defence||Defence Policy,,,"New agency to push arms buys, production",,
3624,123456789/2749,The Times of India,2017-06-22,,,,"The Times of India, 22 June 2017",http://hdl.handle.net/108/149739,http://128.9.32.51:8080/jspui/handle/108/149739,,,,,,Make in India||Collaborative Manufacturing||Russia||India||DRDO||Technoprom - 2017,,,Jaitley asks Russia defence sector cos to 'Make in India',,
3654,123456789/2749,"Shukla, Ajai",2012,,,"The Business Standard, 7 January 2012",,http://hdl.handle.net/108/84648,http://128.9.32.51:8080/jspui/handle/108/84648,,,,,FMBT||MBT Arjun||DRDO||CVRDE,,,The Great Indian Tank Design Challenge,,,
3648,123456789/2749,"Shukla, Ajai",2011-11-24,,,,,http://hdl.handle.net/108/84654,http://128.9.32.51:8080/jspui/handle/108/84654,,,,,MBT||Arjun tank,,,"Heavier, more lethal arjun tank poised for trials",,,
3633,123456789/2749,Ajai Shukla,2020-05-18,,,,,http://hdl.handle.net/108/173110,http://128.9.32.51:8080/jspui/handle/108/173110,,en_US,,Bussiness Standard,,defence testing infrastructure,,,MoD approves Rs 400 crore defence testing infrastructure scheme,,Article
